base_estimator,n_estimators,learning_rate,R-squared,MAE,MSE,RMSE,RAE,RRSE
DecisionTreeRegressor(max_depth=5),50,2.0,0.8802621451817538,0.02990698699542495,0.0020533965592976805,0.045314418889550824,0.3266867541098216,0.3425282510690748
DecisionTreeRegressor(max_depth=5),50,10.0,-26.482536646318277,0.6719596567867466,0.46872041541967213,0.6846315910178788,7.340101468663271,5.17507820346489
DecisionTreeRegressor(max_depth=5),100,0.001,0.8844714630098125,0.02165452628449495,0.0020266558951225226,0.04501839507493045,0.2365416116558201,0.34029062953532296
DecisionTreeRegressor(max_depth=5),100,0.01,0.8880342555877991,0.022237157781476134,0.001958303522396294,0.04425272333310453,0.2429059435967156,0.33450297498633963
DecisionTreeRegressor(max_depth=5),100,0.1,0.8742007666310773,0.025245943211699068,0.002194716142928338,0.04684779763156789,0.275772188068712,0.3541189445304604
DecisionTreeRegressor(max_depth=5),100,0.5,0.8750453215912508,0.026885628655736037,0.0021620687119530664,0.04649805062530113,0.2936831703938624,0.3514752334709587
DecisionTreeRegressor(max_depth=5),100,1.0,0.874493479896693,0.027763982758661175,0.0021763117798037283,0.04665095690126547,0.30327780628572115,0.35263104039879795
DecisionTreeRegressor(max_depth=5),100,2.0,0.8718167484971102,0.030935366170345126,0.0022103295840930123,0.04701414238389351,0.33792017774758903,0.35537633188055506
DecisionTreeRegressor(max_depth=5),100,10.0,-26.647358727937466,0.6739160281542164,0.47125914478088193,0.6864831715205275,7.361471746183031,5.189074159869665
DecisionTreeRegressor(max_depth=5),200,0.001,0.8826748706515465,0.021802336104321956,0.0020604740071073105,0.04539244438347984,0.23815620125898637,0.3431180398521871
DecisionTreeRegressor(max_depth=5),200,0.01,0.8842966730091699,0.02337683600621499,0.002019907158205095,0.044943377245208166,0.25535513414963007,0.33972357545753806
DecisionTreeRegressor(max_depth=5),200,0.1,0.8757978855461579,0.024858037730512324,0.002166314557994366,0.04654368440502284,0.2715349313176494,0.3518201757463048
DecisionTreeRegressor(max_depth=5),200,0.5,0.8737293469005554,0.027673645852490252,0.002184950778207841,0.04674345706307826,0.3022910177918546,0.3533302420971926
DecisionTreeRegressor(max_depth=5),200,1.0,0.8718578784549672,0.02828870267137788,0.0022141275863478476,0.04705451717261423,0.3090095453314643,0.3556815218423088
DecisionTreeRegressor(max_depth=5),200,2.0,0.8749495706296306,0.031378925657995396,0.0021510284113883957,0.04637918079686613,0.3427653669101499,0.35057670546516073
DecisionTreeRegressor(max_depth=5),200,10.0,-26.63738037836141,0.6737549935132525,0.47104446481163886,0.6863267915589766,7.35971269622712,5.187892095616279
LinearRegression(),10,0.001,0.7443358720683145,0.03416819249710236,0.004424059789851538,0.06651360605057839,0.3732337163347646,0.5027712968874813
LinearRegression(),10,0.01,0.7431933706909016,0.03427125215523574,0.004444565525585673,0.066667574769041,0.37435948086598986,0.5039351347374799
LinearRegression(),10,0.1,0.7413123681546809,0.034634706472211334,0.004466374801374658,0.06683094194588804,0.37832964713844386,0.5051700148206582
LinearRegression(),10,0.5,0.7322769971504712,0.03581041081487401,0.004616854722947256,0.06794744088593224,0.3911723663182813,0.5136095455180716
LinearRegression(),10,1.0,0.7134973879362967,0.03605201451530219,0.004912879167508671,0.07009193368361777,0.39381150641908375,0.5298196037163647
LinearRegression(),10,2.0,0.7305321120013243,0.03642149267160034,0.004647703016378171,0.06817406410342698,0.39784747365356266,0.5153225732086467
LinearRegression(),10,10.0,-13.175505721586017,0.41147277711937624,0.2461308868309398,0.4961157998199007,4.49469236009119,3.75010165427127
LinearRegression(),30,0.001,0.7435766792609652,0.034015423767136475,0.004429662209868584,0.06655570756793579,0.3715649584445208,0.5030895390598665
LinearRegression(),30,0.01,0.7422904831285451,0.03440825451893354,0.004454137867320322,0.06673932774099782,0.37585601602376595,0.5044775100033589
LinearRegression(),30,0.1,0.7282171382739493,0.03555102501600245,0.004686019784293661,0.0684545088675221,0.3883389847841101,0.5174424338825994
LinearRegression(),30,0.5,0.7296385623439259,0.035945313923481034,0.004662613821752854,0.06828333487574295,0.39264597041878446,0.516148542678223
LinearRegression(),30,1.0,0.7134973879362967,0.03605201451530219,0.004912879167508671,0.07009193368361777,0.39381150641908375,0.5298196037163647
LinearRegression(),30,2.0,0.7305321120013243,0.03642149267160034,0.004647703016378171,0.06817406410342698,0.39784747365356266,0.5153225732086467
LinearRegression(),30,10.0,-8.660149830717618,0.32135240910637675,0.16613369649037535,0.40759501529137393,3.5102692047311006,3.0809797665621357
LinearRegression(),50,0.001,0.7438458224968003,0.034107468263752994,0.004428638466087002,0.06654801624456586,0.37257039967596023,0.503031400930616
LinearRegression(),50,0.01,0.7414469075506934,0.03443405365197387,0.004465260308850364,0.06682260327801039,0.37613783093989517,0.5051069834634352
LinearRegression(),50,0.1,0.7232368799871484,0.036152205330669936,0.004771739816453036,0.06907778091726048,0.39490593335915336,0.5221536999733659
LinearRegression(),50,0.5,0.7296385623439259,0.035945313923481034,0.004662613821752854,0.06828333487574295,0.39264597041878446,0.516148542678223
LinearRegression(),50,1.0,0.7134973879362967,0.03605201451530219,0.004912879167508671,0.07009193368361777,0.39381150641908375,0.5298196037163647
LinearRegression(),50,2.0,0.7305321120013243,0.03642149267160034,0.004647703016378171,0.06817406410342698,0.39784747365356266,0.5153225732086467
