X,Z
-10.8,-0.4025
-10.775,-0.403
-10.75,-0.4025
-10.725,-0.405
-10.7,-0.404
-10.675,-0.404
-10.65,-0.4045
-10.625,-0.405
-10.6,-0.4045
-10.575,-0.4005
-10.55,-0.401
-10.525,-0.4015
-10.5,-0.4025
-10.475,-0.4035
-10.45,-0.404
-10.425,-0.4055
-10.4,-0.4065
-10.375,-0.4075
-10.35,-0.409
-10.325,-0.4115
-10.3,-0.411
-10.275,-0.4125
-10.25,-0.4135
-10.225,-0.413
-10.2,-0.414
-10.175,-0.415
-10.15,-0.416
-10.125,-0.4165
-10.1,-0.4175
-10.075,-0.4185
-10.05,-0.419
-10.025,-0.42
-10.0,-0.421
-9.975,-0.422
-9.95,-0.423
-9.925,-0.4225
-9.9,-0.424
-9.875,-0.4245
-9.85,-0.424
-9.825,-0.423
-9.8,-0.425
-9.775,-0.424
-9.75,-0.4225
-9.725,-0.423
-9.7,-0.4245
-9.675,-0.421
-9.65,-0.418
-9.625,-0.419
-9.6,-0.4195
-9.575,-0.417
-9.55,-0.417
-9.525,-0.4175
-9.5,-0.4185
-9.475,-0.4195
-9.45,-0.42
-9.425,-0.42
-9.4,-0.4215
-9.375,-0.422
-9.35,-0.423
-9.325,-0.4245
-9.3,-0.4245
-9.275,-0.425
-9.25,-0.4255
-9.225,-0.426
-9.2,-0.427
-9.175,-0.428
-9.15,-0.4285
-9.125,-0.43
-9.1,-0.4305
-9.075,-0.4315
-9.05,-0.4325
-9.025,-0.433
-9.0,-0.434
-8.975,-0.4335
-8.95,-0.432
-8.925,-0.43
-8.9,-0.431
-8.875,-0.432
-8.85,-0.4315
-8.825,-0.4315
-8.8,-0.432
-8.775,-0.4315
-8.75,-0.4315
-8.725,-0.431
-8.7,-0.431
-8.675,-0.433
-8.65,-0.4325
-8.625,-0.434
-8.6,-0.4335
-8.575,-0.433
-8.55,-0.434
-8.525,-0.4325
-8.5,-0.435
-8.475,-0.435
-8.45,-0.436
-8.425,-0.4375
-8.4,-0.437
-8.375,-0.4385
-8.35,-0.4385
-8.325,-0.4395
-8.3,-0.4405
-8.275,-0.44
-8.25,-0.4425
-8.225,-0.4425
-8.2,-0.4435
-8.175,-0.445
-8.15,-0.4445
-8.125,-0.4445
-8.1,-0.446
-8.075,-0.4465
-8.05,-0.448
-8.025,-0.4505
-8.0,-0.449
-7.975,-0.452
-7.95,-0.452
-7.925,-0.452
-7.9,-0.453
-7.875,-0.4525
-7.85,-0.453
-7.825,-0.4535
-7.8,-0.454
-7.775,-0.455
-7.75,-0.456
-7.725,-0.459
-7.7,-0.4595
-7.675,-0.4615
-7.65,-0.4635
-7.625,-0.462
-7.6,-0.4655
-7.575,-0.4635
-7.55,-0.463
-7.525,-0.463
-7.5,-0.461
-7.475,-0.4595
-7.45,-0.4595
-7.425,-0.459
-7.4,-0.459
-7.375,-0.4595
-7.35,-0.456
-7.325,-0.459
-7.3,-0.459
-7.275,-0.459
-7.25,-0.461
-7.225,-0.46
-7.2,-0.4625
-7.175,-0.4625
-7.15,-0.4625
-7.125,-0.4635
-7.1,-0.464
-7.075,-0.464
-7.05,-0.4655
-7.025,-0.4665
-7.0,-0.466
-6.975,-0.466
-6.95,-0.4675
-6.925,-0.468
-6.9,-0.469
-6.875,-0.47
-6.85,-0.4705
-6.825,-0.472
-6.8,-0.4725
-6.775,-0.4735
-6.75,-0.4755
-6.725,-0.4775
-6.7,-0.477
-6.675,-0.4775
-6.65,-0.4785
-6.625,-0.479
-6.6,-0.4795
-6.575,-0.481
-6.55,-0.4815
-6.525,-0.4825
-6.5,-0.4835
-6.475,-0.484
-6.45,-0.4855
-6.425,-0.4855
-6.4,-0.486
-6.375,-0.486
-6.35,-0.486
-6.325,-0.4875
-6.3,-0.487
-6.275,-0.486
-6.25,-0.4865
-6.225,-0.487
-6.2,-0.4875
-6.175,-0.487
-6.15,-0.4865
-6.125,-0.487
-6.1,-0.488
-6.075,-0.4885
-6.05,-0.49
-6.025,-0.4905
-6.0,-0.4915
-5.975,-0.492
-5.95,-0.492
-5.925,-0.494
-5.9,-0.4945
-5.875,-0.495
-5.85,-0.4955
-5.825,-0.496
-5.8,-0.4965
-5.775,-0.497
-5.75,-0.4975
-5.725,-0.4965
-5.7,-0.4965
-5.675,-0.4995
-5.65,-0.5
-5.625,-0.5015
-5.6,-0.5025
-5.575,-0.5035
-5.55,-0.505
-5.525,-0.5055
-5.5,-0.5065
-5.475,-0.507
-5.45,-0.508
-5.425,-0.509
-5.4,-0.508
-5.375,-0.51
-5.35,-0.51
-5.325,-0.5105
-5.3,-0.5115
-5.275,-0.5115
-5.25,-0.5135
-5.225,-0.5135
-5.2,-0.5145
-5.175,-0.516
-5.15,-0.5155
-5.125,-0.5125
-5.1,-0.5135
-5.075,-0.5135
-5.05,-0.512
-5.025,-0.514
-5.0,-0.5135
-4.975,-0.515
-4.95,-0.515
-4.925,-0.515
-4.9,-0.5155
-4.875,-0.5155
-4.85,-0.5155
-4.825,-0.5145
-4.8,-0.515
-4.775,-0.517
-4.75,-0.516
-4.725,-0.518
-4.7,-0.5175
